Model,Train Accuracy,Val Accuracy,Val Precision (Severe),Val Recall (Severe),Val F1 (Severe)
Logistic Regression,0.7293672858490179,0.7273371430071054,0.7275990222714923,0.8736443581294869,0.7939614783966684
Decision Tree,0.82433263624062,0.8046503388685138,0.8256001178662008,0.8559473672725686,0.8404999008983431
